Table: bloz, Row Count: 186089
Table: atbl, Row Count: 107208
Table: iprp, Row Count: 86686
Table: sprz, Row Count: 49038
Table: iint, Row Count: 39877
Table: kzak, Row Count: 23443
Table: hstw, Row Count: 16021
Table: shis, Row Count: 12994
Table: korz, Row Count: 7051
Table: lews, Row Count: 5829
Table: atcs, Row Count: 5144
Table: twnr, Row Count: 4331
Table: leki, Row Count: 4330
Table: towr, Row Count: 4330
Table: bstr, Row Count: 3763
Table: attw, Row Count: 3755
Table: gmny, Row Count: 3145
Table: wssr, Row Count: 2139
Table: iskl, Row Count: 2015
Table: tabv, Row Count: 1639
Table: gtpw, Row Count: 1322
Table: dokf, Row Count: 1185
Table: elgu, Row Count: 761
Table: swkp, Row Count: 737
Table: bdoc, Row Count: 490
Table: pmsr, Row Count: 410
Table: powi, Row Count: 381
Table: swkm, Row Count: 348
Table: rcfr, Row Count: 295
Table: swpl, Row Count: 288
Table: uprw, Row Count: 273
Table: parm, Row Count: 249
Table: elzp, Row Count: 235
Table: blop, Row Count: 175
Table: qzrv, Row Count: 173
Table: iblr, Row Count: 161
Table: scwt, Row Count: 161
Table: dokp, Row Count: 118
Table: qzrf, Row Count: 112
Table: paca, Row Count: 108
Table: scwd, Row Count: 81
Table: bdol, Row Count: 77
Table: hurt, Row Count: 73
Table: rpdf, Row Count: 67
Table: rpup, Row Count: 67
Table: numr, Row Count: 58
Table: scwr, Row Count: 57
Table: dznk, Row Count: 55
Table: dedf, Row Count: 54
Table: bdot, Row Count: 52
Table: kach, Row Count: 50
Table: wspw, Row Count: 48
Table: andw, Row Count: 46
Table: mdeg, Row Count: 37
Table: derf, Row Count: 32
Table: vers, Row Count: 31
Table: leka, Row Count: 28
Table: sple, Row Count: 28
Table: dost, Row Count: 27
Table: tspy, Row Count: 25
Table: andz, Row Count: 23
Table: dedp, Row Count: 22
Table: bdok, Row Count: 21
Table: scwl, Row Count: 20
Table: anad, Row Count: 19
Table: woje, Row Count: 17
Table: anaw, Row Count: 16
Table: anaz, Row Count: 16
Table: tspa, Row Count: 16
Table: paru, Row Count: 15
Table: aksp, Row Count: 11
Table: stan, Row Count: 11
Table: aksv, Row Count: 9
Table: dele, Row Count: 9
Table: pers, Row Count: 9
Table: gtsl, Row Count: 7
Table: tspc, Row Count: 7
Table: bdom, Row Count: 6
Table: cien, Row Count: 6
Table: iakn, Row Count: 6
Table: delr, Row Count: 5
Table: odrc, Row Count: 5
Table: tspd, Row Count: 5
Table: bdod, Row Count: 4
Table: bdoa, Row Count: 4
Table: bdoz, Row Count: 4
Table: dopw, Row Count: 4
Table: sesj, Row Count: 4
Table: zdpl, Row Count: 4
Table: bdob, Row Count: 4
Table: anan, Row Count: 3
Table: hhas, Row Count: 3
Table: prmw, Row Count: 3
Table: qzng, Row Count: 3
Table: komp, Row Count: 2
Table: magz, Row Count: 2
Table: pora, Row Count: 2
Table: prmn, Row Count: 2
Table: prma, Row Count: 2
Table: rfnd, Row Count: 2
Table: xpaca, Row Count: 2
Table: zmng, Row Count: 2
Table: gupr, Row Count: 2
Table: adnw, Row Count: 1
Table: aapp, Row Count: 1
Table: abdf, Row Count: 1
Table: adnn, Row Count: 1
Table: adnr, Row Count: 1
Table: adnp, Row Count: 1
Table: aeml, Row Count: 1
Table: adnu, Row Count: 1
Table: adnk, Row Count: 1
Table: akdp, Row Count: 1
Table: algn, Row Count: 1
Table: alrt, Row Count: 1
Table: anon, Row Count: 1
Table: apub, Row Count: 1
Table: anpr, Row Count: 1
Table: anpt, Row Count: 1
Table: anpz, Row Count: 1
Table: anrd, Row Count: 1
Table: aodo, Row Count: 1
Table: apyt, Row Count: 1
Table: arpz, Row Count: 1
Table: arng, Row Count: 1
Table: arzw, Row Count: 1
Table: asfn, Row Count: 1
Table: bdog, Row Count: 1
Table: bdof, Row Count: 1
Table: bdop, Row Count: 1
Table: bdor, Row Count: 1
Table: befv, Row Count: 1
Table: bfmw, Row Count: 1
Table: blbf, Row Count: 1
Table: blds, Row Count: 1
Table: bldw, Row Count: 1
Table: blok, Row Count: 1
Table: blox, Row Count: 1
Table: blpn, Row Count: 1
Table: blnp, Row Count: 1
Table: blpw, Row Count: 1
Table: blsm, Row Count: 1
Table: blsp, Row Count: 1
Table: bsdx, Row Count: 1
Table: bufk, Row Count: 1
Table: bufl, Row Count: 1
Table: bufo, Row Count: 1
Table: bufp, Row Count: 1
Table: bufz, Row Count: 1
Table: cbkn, Row Count: 1
Table: cbkg, Row Count: 1
Table: bufr, Row Count: 1
Table: bufn, Row Count: 1
Table: burc, Row Count: 1
Table: cbkp, Row Count: 1
Table: cdost, Row Count: 1
Table: cdgvc, Row Count: 1
Table: cert, Row Count: 1
Table: cerw, Row Count: 1
Table: cfev, Row Count: 1
Table: cnkn, Row Count: 1
Table: cpaca, Row Count: 1
Table: cpdw, Row Count: 1
Table: cpgd, Row Count: 1
Table: cppz, Row Count: 1
Table: cptd, Row Count: 1
Table: cnkp, Row Count: 1
Table: cntrl, Row Count: 1
Table: cpng, Row Count: 1
Table: crmn, Row Count: 1
Table: crmp, Row Count: 1
Table: ctowr, Row Count: 1
Table: ctwbf, Row Count: 1
Table: cumod, Row Count: 1
Table: cvpz, Row Count: 1
Table: czpo, Row Count: 1
Table: dawk, Row Count: 1
Table: deok, Row Count: 1
Table: deds, Row Count: 1
Table: cvng, Row Count: 1
Table: deft, Row Count: 1
Table: dfks, Row Count: 1
Table: dgal, Row Count: 1
Table: dint, Row Count: 1
Table: dftk, Row Count: 1
Table: dokn, Row Count: 1
Table: dgnz, Row Count: 1
Table: dsop, Row Count: 1
Table: dspz, Row Count: 1
Table: enzp, Row Count: 1
Table: evns, Row Count: 1
Table: ewnb, Row Count: 1
Table: ewns, Row Count: 1
Table: ereb, Row Count: 1
Table: fnzl, Row Count: 1
Table: frpe, Row Count: 1
Table: grpp, Row Count: 1
Table: exprt, Row Count: 1
Table: ezkrt, Row Count: 1
Table: fmzd, Row Count: 1
Table: grpn, Row Count: 1
Table: grpt, Row Count: 1
Table: hmrc, Row Count: 1
Table: home, Row Count: 1
Table: hsdk, Row Count: 1
Table: htowr, Row Count: 1
Table: hwzr, Row Count: 1
Table: grrb, Row Count: 1
Table: gvng, Row Count: 1
Table: gvpz, Row Count: 1
Table: hdaw, Row Count: 1
Table: hkntr, Row Count: 1
Table: hpers, Row Count: 1
Table: hwno, Row Count: 1
Table: iakm, Row Count: 1
Table: iaem, Row Count: 1
Table: iatw, Row Count: 1
Table: iakr, Row Count: 1
Table: iaof, Row Count: 1
Table: iatz, Row Count: 1
Table: iatp, Row Count: 1
Table: iaup, Row Count: 1
Table: iabr, Row Count: 1
Table: iakp, Row Count: 1
Table: ians, Row Count: 1
Table: iapo, Row Count: 1
Table: kdaw, Row Count: 1
Table: ircf, Row Count: 1
Table: irod, Row Count: 1
Table: jeda, Row Count: 1
Table: jedn, Row Count: 1
Table: jpke, Row Count: 1
Table: kdkr, Row Count: 1
Table: kdus, Row Count: 1
Table: irap, Row Count: 1
Table: iwng, Row Count: 1
Table: iwpz, Row Count: 1
Table: kart, Row Count: 1
Table: kdqr, Row Count: 1
Table: klkd, Row Count: 1
Table: korp, Row Count: 1
Table: krab, Row Count: 1
Table: kosp, Row Count: 1
Table: kpml, Row Count: 1
Table: ksre, Row Count: 1
Table: ksrn, Row Count: 1
Table: klas, Row Count: 1
Table: kknn, Row Count: 1
Table: kknp, Row Count: 1
Table: komu, Row Count: 1
Table: kors, Row Count: 1
Table: ksrp, Row Count: 1
Table: ksus, Row Count: 1
Table: ksws, Row Count: 1
Table: lbng, Row Count: 1
Table: ktrc, Row Count: 1
Table: lgoz, Row Count: 1
Table: kwrq, Row Count: 1
Table: lspr, Row Count: 1
Table: lldf, Row Count: 1
Table: llkp, Row Count: 1
Table: lprz, Row Count: 1
Table: metk, Row Count: 1
Table: mint, Row Count: 1
Table: ltfn, Row Count: 1
Table: mxng, Row Count: 1
Table: ntwp, Row Count: 1
Table: norm, Row Count: 1
Table: mskl, Row Count: 1
Table: mdng, Row Count: 1
Table: mopr, Row Count: 1
Table: msgl, Row Count: 1
Table: mvsz, Row Count: 1
Table: nzdc, Row Count: 1
Table: odmn, Row Count: 1
Table: ofer, Row Count: 1
Table: ofwz, Row Count: 1
Table: olsl, Row Count: 1
Table: osbp, Row Count: 1
Table: osim, Row Count: 1
Table: nzdn, Row Count: 1
Table: nzdp, Row Count: 1
Table: occt, Row Count: 1
Table: opng, Row Count: 1
Table: oppz, Row Count: 1
Table: orlk, Row Count: 1
Table: osan, Row Count: 1
Table: oslm, Row Count: 1
Table: oslp, Row Count: 1
Table: oslq, Row Count: 1
Table: oslt, Row Count: 1
Table: osmg, Row Count: 1
Table: oszb, Row Count: 1
Table: osmz, Row Count: 1
